,Years,Country,Capital,Latitude,Longditude,Percent_of_Health_Spending,Percent_of_GDP,USD_per_Capita,Total_Spending_in_Millions_USD
0,1971,AUS,Canberra,-35.26666667,149.133333,15.992,0.727,35.72,462.11
1,1972,AUS,Canberra,-35.26666667,149.133333,15.091,0.686,36.056,475.11
2,1973,AUS,Canberra,-35.26666667,149.133333,15.117,0.681,39.871,533.47
3,1974,AUS,Canberra,-35.26666667,149.133333,14.771,0.755,47.559,652.65
4,1975,AUS,Canberra,-35.26666667,149.133333,11.849,0.682,47.561,660.76
5,1976,AUS,Canberra,-35.26666667,149.133333,10.92,0.63,46.908,658.26
6,1977,AUS,Canberra,-35.26666667,149.133333,10.087,0.613,47.649,676.23
7,1978,AUS,Canberra,-35.26666667,149.133333,9.958,0.591,50.799,729.37
8,1979,AUS,Canberra,-35.26666667,149.133333,8.981,0.523,49.766,722.3
9,1980,AUS,Canberra,-35.26666667,149.133333,9.263,0.54,56.972,837.03
10,1981,AUS,Canberra,-35.26666667,149.133333,9.388,0.548,65.39,976.08
11,1982,AUS,Canberra,-35.26666667,149.133333,9.248,0.564,67.606,1026.12
12,1983,AUS,Canberra,-35.26666667,149.133333,9.589,0.58,74.083,1138.58
13,1984,AUS,Canberra,-35.26666667,149.133333,9.465,0.569,77.27,1201.08
14,1985,AUS,Canberra,-35.26666667,149.133333,9.56,0.58,84.134,1325.78
15,1986,AUS,Canberra,-35.26666667,149.133333,9.568,0.599,89.94,1440.69
16,1987,AUS,Canberra,-35.26666667,149.133333,9.543,0.582,93.578,1521.94
17,1988,AUS,Canberra,-35.26666667,149.133333,9.823,0.595,102.027,1686.73
18,1989,AUS,Canberra,-35.26666667,149.133333,10.199,0.623,111.197,1869.71
19,1990,AUS,Canberra,-35.26666667,149.133333,10.474,0.677,120.773,2061.0
20,1991,AUS,Canberra,-35.26666667,149.133333,10.937,0.739,134.356,2322.21
21,1992,AUS,Canberra,-35.26666667,149.133333,11.407,0.778,149.096,2608.43
22,1993,AUS,Canberra,-35.26666667,149.133333,11.977,0.819,165.359,2921.4
23,1994,AUS,Canberra,-35.26666667,149.133333,12.508,0.859,183.972,3284.82
24,1995,AUS,Canberra,-35.26666667,149.133333,12.762,0.882,198.406,3585.59
25,1996,AUS,Canberra,-35.26666667,149.133333,13.106,0.924,215.606,3947.96
26,1997,AUS,Canberra,-35.26666667,149.133333,13.437,0.95,232.59,4306.87
27,1998,AUS,Canberra,-35.26666667,149.133333,14.084,1.019,261.728,4897.19
28,1999,AUS,Canberra,-35.26666667,149.133333,14.679,1.075,291.589,5518.61
29,2000,AUS,Canberra,-35.26666667,149.133333,15.702,1.194,338.665,6486.45
30,2001,AUS,Canberra,-35.26666667,149.133333,16.059,1.236,364.771,7081.3
31,2002,AUS,Canberra,-35.26666667,149.133333,15.374,1.213,373.044,7330.84
32,2003,AUS,Canberra,-35.26666667,149.133333,15.761,1.244,401.302,7984.06
33,2004,AUS,Canberra,-35.26666667,149.133333,15.656,1.269,429.882,8652.41
34,2005,AUS,Canberra,-35.26666667,149.133333,15.218,1.213,432.513,8821.02
35,2006,AUS,Canberra,-35.26666667,149.133333,15.276,1.219,461.821,9558.72
36,2007,AUS,Canberra,-35.26666667,149.133333,15.201,1.225,485.887,10119.86
37,2008,AUS,Canberra,-35.26666667,149.133333,15.412,1.273,510.172,10840.75
38,2009,AUS,Canberra,-35.26666667,149.133333,15.535,1.334,553.724,12011.21
39,2010,AUS,Canberra,-35.26666667,149.133333,15.63,1.324,563.857,12422.76
40,2011,AUS,Canberra,-35.26666667,149.133333,15.311,1.315,580.921,12977.79
41,2012,AUS,Canberra,-35.26666667,149.133333,15.308,1.336,582.874,13247.71
42,2013,AUS,Canberra,-35.26666667,149.133333,14.989,1.32,627.402,14503.87
43,2014,AUS,Canberra,-35.26666667,149.133333,14.386,1.306,616.997,14475.18
44,1990,AUT,Vienna,48.2,16.366667,10.131,0.784,152.003,1167.06
45,1991,AUT,Vienna,48.2,16.366667,10.001,0.78,160.118,1241.7
46,1992,AUT,Vienna,48.2,16.366667,9.889,0.801,169.708,1330.63
47,1993,AUT,Vienna,48.2,16.366667,9.746,0.84,181.793,1437.19
48,1994,AUT,Vienna,48.2,16.366667,9.457,0.852,192.083,1524.39
49,1995,AUT,Vienna,48.2,16.366667,9.542,0.854,201.335,1600.27
50,1996,AUT,Vienna,48.2,16.366667,9.839,0.876,214.418,1706.56
51,1997,AUT,Vienna,48.2,16.366667,11.213,1.01,255.927,2039.24
52,1998,AUT,Vienna,48.2,16.366667,11.843,1.087,288.769,2303.45
53,1999,AUT,Vienna,48.2,16.366667,12.551,1.17,322.318,2576.07
54,2000,AUT,Vienna,48.2,16.366667,12.734,1.174,344.082,2756.64
55,2001,AUT,Vienna,48.2,16.366667,12.897,1.198,356.061,2863.55
56,2002,AUT,Vienna,48.2,16.366667,13.154,1.238,385.304,3114.01
57,2003,AUT,Vienna,48.2,16.366667,13.607,1.304,417.087,3387.34
58,2004,AUT,Vienna,48.2,16.366667,13.41,1.294,435.327,3557.48
59,2005,AUT,Vienna,48.2,16.366667,13.325,1.277,445.188,3662.93
60,2006,AUT,Vienna,48.2,16.366667,13.37,1.268,474.834,3926.23
61,2007,AUT,Vienna,48.2,16.366667,13.605,1.289,504.849,4187.97
62,2008,AUT,Vienna,48.2,16.366667,13.606,1.311,538.253,4479.07
63,2009,AUT,Vienna,48.2,16.366667,12.53,1.271,517.265,4315.71
64,2010,AUT,Vienna,48.2,16.366667,12.368,1.251,524.143,4383.62
65,2011,AUT,Vienna,48.2,16.366667,12.473,1.236,546.783,4588.41
66,2012,AUT,Vienna,48.2,16.366667,12.181,1.234,570.525,4809.52
67,2013,AUT,Vienna,48.2,16.366667,12.222,1.245,594.13,5037.85
68,2014,AUT,Vienna,48.2,16.366667,12.324,1.268,616.256,5263.8
69,2015,AUT,Vienna,48.2,16.366667,12.407,1.28,632.737,5462.53
70,1970,BEL,Brussels,50.83333333,4.333333,28.113,1.078,41.918,404.74
71,1971,BEL,Brussels,50.83333333,4.333333,28.275,1.109,46.908,453.75
72,1972,BEL,Brussels,50.83333333,4.333333,27.629,1.126,52.105,506.0
73,1973,BEL,Brussels,50.83333333,4.333333,27.547,1.2,61.916,603.17
74,1974,BEL,Brussels,50.83333333,4.333333,26.779,1.183,69.147,675.73
75,1975,BEL,Brussels,50.83333333,4.333333,21.886,1.208,75.852,743.4
76,1976,BEL,Brussels,50.83333333,4.333333,18.88,1.081,75.524,741.51
77,1977,BEL,Brussels,50.83333333,4.333333,18.301,1.133,84.525,830.91
78,1978,BEL,Brussels,50.83333333,4.333333,17.789,1.135,93.107,916.13
79,1979,BEL,Brussels,50.83333333,4.333333,17.386,1.106,100.444,989.21
80,1980,BEL,Brussels,50.83333333,4.333333,17.374,1.068,110.325,1087.72
81,1981,BEL,Brussels,50.83333333,4.333333,16.044,1.053,118.541,1168.69
82,1982,BEL,Brussels,50.83333333,4.333333,15.4,1.045,125.806,1239.98
83,1983,BEL,Brussels,50.83333333,4.333333,15.594,1.084,136.098,1341.32
84,1984,BEL,Brussels,50.83333333,4.333333,14.967,1.017,135.461,1335.02
85,1985,BEL,Brussels,50.83333333,4.333333,15.684,1.074,149.946,1478.21
86,1986,BEL,Brussels,50.83333333,4.333333,15.708,1.102,159.833,1576.24
87,1987,BEL,Brussels,50.83333333,4.333333,15.952,1.136,172.74,1704.98
88,1988,BEL,Brussels,50.83333333,4.333333,16.479,1.174,192.778,1908.82
89,1989,BEL,Brussels,50.83333333,4.333333,16.231,1.147,201.741,2004.84
90,1990,BEL,Brussels,50.83333333,4.333333,15.52,1.103,206.956,2062.81
91,1991,BEL,Brussels,50.83333333,4.333333,15.597,1.157,227.548,2276.5
92,1992,BEL,Brussels,50.83333333,4.333333,16.282,1.237,251.603,2527.39
93,1993,BEL,Brussels,50.83333333,4.333333,17.445,1.347,276.698,2790.35
94,1994,BEL,Brussels,50.83333333,4.333333,17.459,1.313,283.434,2867.11
95,1995,BEL,Brussels,50.83333333,4.333333,18.068,1.351,304.259,3084.22
96,1996,BEL,Brussels,50.83333333,4.333333,17.119,1.327,303.867,3086.27
97,1997,BEL,Brussels,50.83333333,4.333333,17.497,1.332,318.442,3242.14
98,2003,BEL,Brussels,50.83333333,4.333333,17.13,1.557,483.535,5017.22
99,2004,BEL,Brussels,50.83333333,4.333333,17.098,1.557,502.408,5235.66
100,2005,BEL,Brussels,50.83333333,4.333333,17.026,1.536,512.107,5366.17
101,2006,BEL,Brussels,50.83333333,4.333333,16.501,1.472,521.218,5497.79
102,2007,BEL,Brussels,50.83333333,4.333333,16.676,1.493,550.12,5845.41
103,2008,BEL,Brussels,50.83333333,4.333333,16.407,1.532,584.31,6257.94
104,2009,BEL,Brussels,50.83333333,4.333333,15.792,1.59,605.096,6532.91
105,2010,BEL,Brussels,50.83333333,4.333333,15.677,1.555,623.97,6798.52
106,2011,BEL,Brussels,50.83333333,4.333333,15.345,1.547,638.092,7049.48
107,2012,BEL,Brussels,50.83333333,4.333333,14.599,1.487,629.735,7007.85
108,2013,BEL,Brussels,50.83333333,4.333333,14.273,1.48,642.958,7190.08
109,2014,BEL,Brussels,50.83333333,4.333333,13.851,1.44,644.954,7229.33
110,2015,BEL,Brussels,50.83333333,4.333333,14.209,1.489,678.971,7654.85
111,1970,CAN,Ottawa,45.41666667,-75.7,11.962,0.76,34.512,735.93
112,1971,CAN,Ottawa,45.41666667,-75.7,11.529,0.762,37.493,811.56
113,1972,CAN,Ottawa,45.41666667,-75.7,10.962,0.716,38.279,841.89
114,1973,CAN,Ottawa,45.41666667,-75.7,10.942,0.679,40.48,905.51
115,1974,CAN,Ottawa,45.41666667,-75.7,10.026,0.611,40.559,923.69
116,1975,CAN,Ottawa,45.41666667,-75.7,9.319,0.609,44.367,1029.71
117,1976,CAN,Ottawa,45.41666667,-75.7,8.957,0.589,46.967,1104.57
118,1977,CAN,Ottawa,45.41666667,-75.7,8.9,0.583,50.511,1201.96
119,1978,CAN,Ottawa,45.41666667,-75.7,8.882,0.58,55.298,1329.14
120,1979,CAN,Ottawa,45.41666667,-75.7,9.081,0.582,61.83,1501.05
121,1980,CAN,Ottawa,45.41666667,-75.7,8.934,0.589,68.701,1689.56
122,1981,CAN,Ottawa,45.41666667,-75.7,9.357,0.635,82.876,2063.61
123,1982,CAN,Ottawa,45.41666667,-75.7,9.071,0.682,90.435,2279.14
124,1983,CAN,Ottawa,45.41666667,-75.7,9.145,0.704,98.477,2506.83
125,1984,CAN,Ottawa,45.41666667,-75.7,9.5,0.72,109.506,2814.52
126,1985,CAN,Ottawa,45.41666667,-75.7,10.061,0.763,124.336,3225.52
127,1986,CAN,Ottawa,45.41666667,-75.7,10.756,0.842,141.554,3709.28
128,1987,CAN,Ottawa,45.41666667,-75.7,11.058,0.859,152.165,4039.98
129,1988,CAN,Ottawa,45.41666667,-75.7,11.383,0.884,167.067,4493.27
130,1989,CAN,Ottawa,45.41666667,-75.7,11.691,0.932,183.938,5036.04
131,1990,CAN,Ottawa,45.41666667,-75.7,11.914,1.0,201.819,5608.75
132,1991,CAN,Ottawa,45.41666667,-75.7,12.135,1.102,222.113,6257.3
133,1992,CAN,Ottawa,45.41666667,-75.7,12.75,1.19,244.536,6974.07
134,1993,CAN,Ottawa,45.41666667,-75.7,13.377,1.233,263.391,7594.46
135,1994,CAN,Ottawa,45.41666667,-75.7,13.613,1.206,272.076,7920.65
136,1995,CAN,Ottawa,45.41666667,-75.7,14.358,1.229,287.512,8439.63
137,1996,CAN,Ottawa,45.41666667,-75.7,14.578,1.219,292.026,8664.97
138,1997,CAN,Ottawa,45.41666667,-75.7,15.255,1.273,320.266,9603.88
139,1998,CAN,Ottawa,45.41666667,-75.7,15.702,1.347,352.804,10671.58
140,1999,CAN,Ottawa,45.41666667,-75.7,16.199,1.354,375.645,11456.87
141,2000,CAN,Ottawa,45.41666667,-75.7,16.601,1.374,402.054,12371.08
142,2001,CAN,Ottawa,45.41666667,-75.7,16.921,1.465,441.311,13716.78
143,2002,CAN,Ottawa,45.41666667,-75.7,17.438,1.55,478.226,14998.12
144,2003,CAN,Ottawa,45.41666667,-75.7,17.845,1.614,519.989,16471.17
145,2004,CAN,Ottawa,45.41666667,-75.7,17.992,1.637,553.47,17708.27
146,2005,CAN,Ottawa,45.41666667,-75.7,18.058,1.637,592.738,19152.55
147,2006,CAN,Ottawa,45.41666667,-75.7,18.251,1.68,638.701,20802.81
148,2007,CAN,Ottawa,45.41666667,-75.7,18.052,1.679,662.072,21774.18
149,2008,CAN,Ottawa,45.41666667,-75.7,17.828,1.687,679.645,22595.32
150,2009,CAN,Ottawa,45.41666667,-75.7,17.824,1.885,731.121,24586.55
151,2010,CAN,Ottawa,45.41666667,-75.7,18.471,1.951,780.901,26554.75
152,2011,CAN,Ottawa,45.41666667,-75.7,18.32,1.872,778.209,26725.86
153,2012,CAN,Ottawa,45.41666667,-75.7,17.883,1.828,770.464,26774.04
154,2013,CAN,Ottawa,45.41666667,-75.7,17.575,1.778,783.949,27560.08
155,2014,CAN,Ottawa,45.41666667,-75.7,17.453,1.743,785.811,27931.31
156,1990,CZE,Prague,50.08333333,14.466667,24.212,0.908,114.502,1183.19
157,1991,CZE,Prague,50.08333333,14.466667,21.496,0.836,96.461,994.38
158,1992,CZE,Prague,50.08333333,14.466667,24.69,0.99,116.212,1199.21
159,1993,CZE,Prague,50.08333333,14.466667,22.358,1.201,144.243,1490.01
160,1994,CZE,Prague,50.08333333,14.466667,28.254,1.564,197.307,2038.89
161,1995,CZE,Prague,50.08333333,14.466667,28.28,1.629,222.953,2302.49
162,1996,CZE,Prague,50.08333333,14.466667,27.665,1.56,226.75,2338.98
163,1997,CZE,Prague,50.08333333,14.466667,27.252,1.539,225.909,2327.8
164,1998,CZE,Prague,50.08333333,14.466667,25.085,1.412,209.924,2161.04
165,1999,CZE,Prague,50.08333333,14.466667,24.149,1.403,214.504,2205.93
166,2000,CZE,Prague,50.08333333,14.466667,24.659,1.414,228.095,2339.13
167,2001,CZE,Prague,50.08333333,14.466667,24.981,1.474,258.786,2643.91
168,2002,CZE,Prague,50.08333333,14.466667,25.069,1.558,282.66,2882.26
169,2003,CZE,Prague,50.08333333,14.466667,25.196,1.657,320.79,3270.13
170,2004,CZE,Prague,50.08333333,14.466667,25.671,1.642,341.185,3479.1
171,2005,CZE,Prague,50.08333333,14.466667,25.7,1.643,360.063,3676.68
172,2006,CZE,Prague,50.08333333,14.466667,23.478,1.457,346.049,3543.16
173,2007,CZE,Prague,50.08333333,14.466667,22.213,1.339,348.982,3594.11
174,2008,CZE,Prague,50.08333333,14.466667,20.906,1.332,370.216,3844.55
175,2009,CZE,Prague,50.08333333,14.466667,22.139,1.618,446.076,4658.79
176,2010,CZE,Prague,50.08333333,14.466667,20.418,1.418,392.131,4107.34
177,2011,CZE,Prague,50.08333333,14.466667,20.432,1.426,410.511,4308.76
178,2012,CZE,Prague,50.08333333,14.466667,21.496,1.511,438.857,4612.73
179,2013,CZE,Prague,50.08333333,14.466667,17.932,1.384,421.887,4435.83
180,2014,CZE,Prague,50.08333333,14.466667,17.109,1.293,418.414,4403.95
181,2015,CZE,Prague,50.08333333,14.466667,17.323,1.25,421.663,4446.88
182,1980,DNK,Copenhagen,55.66666667,12.583333,6.301,0.53,52.401,268.45
183,1981,DNK,Copenhagen,55.66666667,12.583333,6.149,0.527,56.595,289.86
184,1982,DNK,Copenhagen,55.66666667,12.583333,6.189,0.534,63.14,323.14
185,1983,DNK,Copenhagen,55.66666667,12.583333,6.407,0.539,68.08,348.18
186,1984,DNK,Copenhagen,55.66666667,12.583333,6.631,0.528,71.996,368.02
187,1985,DNK,Copenhagen,55.66666667,12.583333,6.864,0.546,79.733,407.73
188,1986,DNK,Copenhagen,55.66666667,12.583333,7.276,0.563,87.9,450.09
189,1987,DNK,Copenhagen,55.66666667,12.583333,6.888,0.555,88.986,456.23
190,1988,DNK,Copenhagen,55.66666667,12.583333,7.33,0.6,99.611,510.96
191,1989,DNK,Copenhagen,55.66666667,12.583333,7.023,0.566,98.15,503.76
192,1990,DNK,Copenhagen,55.66666667,12.583333,7.621,0.613,111.578,573.62
193,1991,DNK,Copenhagen,55.66666667,12.583333,8.145,0.647,123.085,634.42
194,1992,DNK,Copenhagen,55.66666667,12.583333,8.123,0.646,127.847,661.14
195,1993,DNK,Copenhagen,55.66666667,12.583333,8.692,0.72,145.443,754.65
196,1994,DNK,Copenhagen,55.66666667,12.583333,9.047,0.731,158.155,823.38
197,1995,DNK,Copenhagen,55.66666667,12.583333,9.329,0.725,164.174,859.18
198,1996,DNK,Copenhagen,55.66666667,12.583333,9.16,0.718,170.275,896.17
199,1997,DNK,Copenhagen,55.66666667,12.583333,9.295,0.72,179.425,948.26
200,1998,DNK,Copenhagen,55.66666667,12.583333,10.367,0.783,201.887,1070.85
201,1999,DNK,Copenhagen,55.66666667,12.583333,9.051,0.755,201.247,1071.0
202,2000,DNK,Copenhagen,55.66666667,12.583333,9.068,0.735,210.487,1123.92
203,2001,DNK,Copenhagen,55.66666667,12.583333,8.983,0.759,224.017,1200.46
204,2002,DNK,Copenhagen,55.66666667,12.583333,9.409,0.819,250.898,1348.81
205,2003,DNK,Copenhagen,55.66666667,12.583333,9.241,0.823,253.303,1365.45
206,2004,DNK,Copenhagen,55.66666667,12.583333,8.921,0.804,264.636,1430.23
207,2005,DNK,Copenhagen,55.66666667,12.583333,8.58,0.78,266.357,1443.5
208,2006,DNK,Copenhagen,55.66666667,12.583333,8.718,0.799,298.291,1621.89
209,2007,DNK,Copenhagen,55.66666667,12.583333,8.886,0.829,322.787,1762.88
210,2008,DNK,Copenhagen,55.66666667,12.583333,8.328,0.792,326.956,1796.17
211,2009,DNK,Copenhagen,55.66666667,12.583333,7.613,0.813,328.132,1812.3
212,2010,DNK,Copenhagen,55.66666667,12.583333,7.696,0.798,344.01,1908.46
213,2011,DNK,Copenhagen,55.66666667,12.583333,7.819,0.797,354.029,1972.14
214,2012,DNK,Copenhagen,55.66666667,12.583333,7.395,0.759,340.25,1902.53
215,2013,DNK,Copenhagen,55.66666667,12.583333,6.896,0.704,329.056,1847.63
216,2014,DNK,Copenhagen,55.66666667,12.583333,6.757,0.693,331.484,1870.72
217,2015,DNK,Copenhagen,55.66666667,12.583333,6.758,0.698,341.823,1942.75
218,1970,FIN,Helsinki,60.16666667,24.933333,13.822,0.689,23.396,107.77
219,1971,FIN,Helsinki,60.16666667,24.933333,14.426,0.763,27.808,128.25
220,1972,FIN,Helsinki,60.16666667,24.933333,14.398,0.775,31.569,146.47
221,1973,FIN,Helsinki,60.16666667,24.933333,13.736,0.718,32.836,153.22
222,1974,FIN,Helsinki,60.16666667,24.933333,13.361,0.691,35.324,165.69
223,1975,FIN,Helsinki,60.16666667,24.933333,12.871,0.727,41.194,194.08
224,1976,FIN,Helsinki,60.16666667,24.933333,12.746,0.763,45.628,215.62
225,1977,FIN,Helsinki,60.16666667,24.933333,12.686,0.785,49.848,236.22
226,1978,FIN,Helsinki,60.16666667,24.933333,12.685,0.778,54.215,257.66
227,1979,FIN,Helsinki,60.16666667,24.933333,11.983,0.717,57.822,275.5
228,1980,FIN,Helsinki,60.16666667,24.933333,11.217,0.663,61.236,292.68
229,1981,FIN,Helsinki,60.16666667,24.933333,10.899,0.658,66.995,321.57
230,1982,FIN,Helsinki,60.16666667,24.933333,10.391,0.637,70.618,340.87
231,1983,FIN,Helsinki,60.16666667,24.933333,10.642,0.662,78.166,379.56
232,1984,FIN,Helsinki,60.16666667,24.933333,10.57,0.662,83.116,405.76
233,1985,FIN,Helsinki,60.16666667,24.933333,10.174,0.677,90.468,443.49
234,1986,FIN,Helsinki,60.16666667,24.933333,10.079,0.681,95.015,467.3
235,1987,FIN,Helsinki,60.16666667,24.933333,10.069,0.694,102.609,506.08
236,1988,FIN,Helsinki,60.16666667,24.933333,9.968,0.668,107.207,530.3
237,1989,FIN,Helsinki,60.16666667,24.933333,9.812,0.661,115.48,573.29
238,1990,FIN,Helsinki,60.16666667,24.933333,9.864,0.715,129.76,647.04
239,1991,FIN,Helsinki,60.16666667,24.933333,10.343,0.86,150.883,756.49
240,1992,FIN,Helsinki,60.16666667,24.933333,11.166,0.951,164.015,826.96
241,1993,FIN,Helsinki,60.16666667,24.933333,12.652,0.991,172.839,875.68
242,1994,FIN,Helsinki,60.16666667,24.933333,13.733,1.0,184.471,938.65
243,1995,FIN,Helsinki,60.16666667,24.933333,14.321,1.053,205.851,1051.44
244,1996,FIN,Helsinki,60.16666667,24.933333,14.875,1.112,223.071,1143.14
245,1997,FIN,Helsinki,60.16666667,24.933333,15.244,1.087,236.623,1216.2
246,1998,FIN,Helsinki,60.16666667,24.933333,14.646,0.999,235.186,1212.03
247,1999,FIN,Helsinki,60.16666667,24.933333,15.566,1.058,262.083,1353.78
248,2000,FIN,Helsinki,60.16666667,24.933333,15.619,1.068,285.448,1477.54
